"","year","season","period","treatment","locality","site","bar","station","count_live","tran_length","area","density","strata"
"74",2019,"winter",16,"rocks","LC","O","3","LCO3",358,18.02,2.75,130.36,"N_LG"
"75",2019,"winter",16,"rocks","LC","O","4","LCO4",953,22.1,3.37,282.95,"N_LG"
"76",2019,"winter",16,"rocks","LC","O","8A","LCO8A",319,15.2,2.32,137.71,"N_LG"
"77",2019,"winter",16,"rocks","LC","O","9B","LCO9B",674.5,115.78,17.64,38.23,"N_LG"
"30",2019,"summer",17,"control","LC","I","1","LCI1",1289,19.75,3.01,428.25,"N_NA"
"31",2019,"summer",17,"control","LC","I","2","LCI2",1278,32.1,4.89,261.24,"Y_NA"
"32",2019,"summer",17,"control","LC","I","3","LCI3",1157,23.6,3.6,321.69,"Y_NA"
"33",2019,"summer",17,"control","LC","N","1","LCN1",24,29.75,4.53,5.29,"Y_NA"
"34",2019,"summer",17,"control","LC","N","2","LCN2",455,32.8,5,91.02,"Y_NA"
"35",2019,"summer",17,"control","LC","N","3","LCN3",74,19.9,3.03,24.4,"Y_NA"
"36",2019,"summer",17,"control","LC","N","6","LCN6",1597,32.4,4.94,323.43,"Y_NA"
"37",2019,"summer",17,"control","LC","N","9","LCN9",19,36.1,5.5,3.45,"Y_NA"
